TaxonId;Vetenskapligt namn;Svenskt namn;Svensk förekomst;Typ;Organismgrupp;Kategori;Rödlistekriterium;Skog (S);Jordbrukslandskap (J);Urban miljö (U);Fjäll (F);Våtmark (V);Sötvatten (L);Havsstrand (H);Marin miljö (M);Brackvatten (B)
620;Epipogium aphyllum;skogsfru;Bofast och reproducerande;Art;Kärlväxter;Nära hotad (NT);B2ab(i,ii,iii,iv,v);Viktig;;;;;;;;
215706;Epirrhoe galiata;bredbandad mårefältmätare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);"A2b; B2ab(iii,v)c(iv)";;Viktig;;;;;Viktig;;
215701;Epirrhoe hastulata;mindre mårfältmätare;Bofast och reproducerande;Art;Fjärilar;Nära hotad (NT);B2b(iii,v)c(iv);Viktig;Viktig;;;Förekommer;;;;
100909;Epirrhoe pupillata;brun mårfältmätare;Bofast och reproducerande;Art;Fjärilar;Starkt hotad (EN);B2ab(iii,v)c(iv);;Viktig;Förekommer;;;;;;
100911;Episyron gallicum;svartriddarstekel;Ej längre bofast, ej tillfälligt förekommande;Art;Steklar;Nationellt utdöd (RE);;;Förekommer;Viktig;;;;;;
102784;Epitonium clathratulum;;Bofast och reproducerande;Art;Blötdjur;Kunskapsbrist (DD);;;;;;;;;Viktig;
217960;Epitonium turtonis;större vindeltrappa;Bofast och reproducerande;Art;Blötdjur;Kunskapsbrist (DD);;;;;;;;;Viktig;
100051;Eptesicus serotinus;sydfladdermus;Bofast och reproducerande;Art;Däggdjur;Starkt hotad (EN°);D;Viktig;Förekommer;Viktig;;;Förekommer;Förekommer;;
100914;Epuraea excisicollis;;Bofast och reproducerande;Art;Skalbaggar;Kunskapsbrist (DD);;Viktig;Förekommer;Förekommer;;;;;;
100915;Epuraea fuscicollis;;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(iii);Viktig;Förekommer;;;;;;;
100916;Epuraea longiclavis;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;;;;Viktig;;;;
105389;Epuraea oblonga;;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii,iv);Viktig;;;;;;;;
100918;Epuraea silesiaca;;Bofast och reproducerande;Art;Skalbaggar;Sårbar (VU);B2ab(iii);Viktig;;Förekommer;;;;;;
621;Equisetum telmateia;jättefräken;Bofast och reproducerande;Art;Kärlväxter;Akut hotad (CR);"C2a(i); D";;Viktig;;;Förekommer;;;;
100052;Eremophila alpestris;berglärka;Bofast och reproducerande;Art;Fåglar;Sårbar (VU);D1;;Förekommer;;Viktig;;;Viktig;;
102563;Eresus sandaliatus;nyckelpigespindel;Bofast och reproducerande;Art;Spindeldjur;Starkt hotad (EN);B1ac(iv)+2ac(iv);;Viktig;;;;;;;
105894;Ergates faber;smedbock;Bofast och reproducerande;Art;Skalbaggar;Nära hotad (NT);B2ab(iii);Viktig;;;;;;;;
218704;Erigonoplus globipes;tjockfotsdvärgspindel;Bofast och reproducerande;Art;Spindeldjur;Nära hotad (NT);B1ab(iii)+2ab(iii);;Viktig;;;;;;;
